                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67025,                0.41973,                0.92576,                      1,                0.93845,                0.99269,                0.84293,                0.63102,                0.36566,                0.86086,                0.00307,                0.00307,                0.00307
                     37,                0.67528,                 0.4146,                0.91869,                0.98123,                0.95933,                0.99329,                0.85767,                0.59217,                0.35686,                0.85326,               0.002872,               0.002872,               0.002872
                     38,                0.66564,                 0.4195,                0.91769,                0.97685,                 0.9633,                0.99278,                0.86482,                 0.5865,                0.34167,                0.85313,               0.002674,               0.002674,               0.002674
                     39,                0.65435,                0.40162,                0.92108,                      1,                0.94367,                0.99296,                0.87081,                0.59535,                0.32886,                 0.8517,               0.002476,               0.002476,               0.002476
                     40,                0.60989,                  0.375,                0.90599,                0.97228,                0.96556,                0.99257,                0.86581,                0.57621,                0.32715,                0.84814,               0.002278,               0.002278,               0.002278
                     41,                0.59054,                0.36182,                0.88679,                0.97143,                0.98165,                0.99347,                0.88346,                0.54944,                0.32003,                0.84827,                0.00208,                0.00208,                0.00208
                     42,                0.57624,                0.35721,                 0.8855,                0.97263,                0.97827,                0.99311,                0.87527,                0.55698,                0.33423,                0.85044,               0.001882,               0.001882,               0.001882
                     43,                0.55992,                0.35186,                0.88903,                0.96396,                0.98163,                0.99308,                0.88278,                0.54768,                0.32289,                0.84444,               0.001684,               0.001684,               0.001684
                     44,                0.56322,                0.34985,                0.88969,                0.98392,                0.95413,                0.99276,                0.88108,                0.54591,                0.32508,                0.83255,               0.001486,               0.001486,               0.001486
                     45,                0.54556,                0.33698,                0.88256,                0.98149,                0.94495,                0.99267,                0.88095,                0.53404,                0.31705,                0.83312,               0.001288,               0.001288,               0.001288
                     46,                0.52958,                0.33275,                0.88061,                0.97228,                0.96529,                0.99313,                0.88644,                 0.5296,                0.31634,                0.83559,                0.00109,                0.00109,                0.00109
                     47,                0.52676,                0.33465,                0.87481,                0.97308,                 0.9633,                 0.9931,                0.88509,                0.52938,                0.30785,                0.84118,               0.000892,               0.000892,               0.000892
                     48,                0.52543,                0.32775,                 0.8825,                0.95547,                0.98417,                0.99301,                0.88473,                0.52505,                0.30785,                0.84069,               0.000694,               0.000694,               0.000694
                     49,                0.50431,                0.31483,                0.87062,                 0.9546,                0.99083,                0.99311,                0.88187,                0.52298,                0.30439,                0.83652,               0.000496,               0.000496,               0.000496
